Q3 sales export - generated 2026-09-25,,,
order_id,order_date,region,product,unit_price,quantity,discount,revenue,customer_email,churned,refund_amount,currency,notes
10000,2025-04-08,East,Gizmo,"$1,192.90",18,15%,18251.32,user96@example.com,no,0,USD,
10001,22 Dec 2025,East,Widget,$11.60,15,10%,156.66,user81@example.com,yes,154.43,USD,
10002,04 May 2025,East,Widget,$11.40,17,0%,193.78,user101@example.com,yes,110.68,USD,
10003,12/02/2025,south,Gadget,$43.24,10,15%,367.57,user131@example.com,no,0,USD,
10004,02/25/2025,south,Doohickey,$143.67,8,20%,919.50,user1@example.com,yes,397.89,USD,
10005,07/23/2025,north,Gadget,$47.71,7,0%,333.98,user45@example.com,yes,234.98,USD,
10006,2025-03-02,south,Doohickey,$163.92,11,0%,1803.15,user31@example.com,no,0,USD,
10007,2025-09-18,East,Gizmo,"$1,248.36",16,5%,18975.11,user197@example.com,no,0,USD,
10008,10/31/2025,North,Widget,$13.73,13,15%,6066.51,user96@example.com,no,0,USD,
10009,04/20/2025,North ,Gizmo,"$1,108.22",-,20%,17731.52,user152@example.com,no,0,USD,
10010,2025-05-05,North ,Gizmo,"$1,105.76",3,0%,3317.28,user233@example.com,no,0,USD,
10011,2025-07-17,north,Gadget,$51.19,?,15%,826.73,user117@example.com,no,0,USD,
10012,11 Apr 2025,East,Gadget,$50.30,7,5%,334.48,user41@example.com,no,0,USD,
10013,2025-05-11,N/A,Gizmo,"$1,110.32",2,0%,2220.64,user216@example.com,no,0,USD,
10014,2025-02-05,south,Gizmo,"$1,126.31",10,20%,9010.50,user109@example.com,no,0,USD,
10015,2025-01-31,East,Gadget,$45.78,1,0%,45.78,user186@example.com,yes,22.66,USD,
10016,2025-10-27,North,Gadget,$49.51,15,10%,668.34,user184@example.com,no,0,USD,
10017,04 Feb 2025,East,Doohickey,$152.95,2,0%,305.90,user39@example.com,no,0,USD,
10018,2025-12-27,North ,Gizmo,"$1,261.59",18,10%,20437.83,user44@example.com,no,0,USD,
10019,13 Sep 2025,N/A,Gizmo,"$1,311.52",3,15%,3344.37,user7@example.com,yes,2440.76,USD,
10020,02 Aug 2025,East,Widget,$12.85,3,0%,38.55,user237@example.com,no,0,USD,
10021,2025-09-04,south,Widget,$11.32,17,20%,154.01,user249@example.com,no,0,USD,
10022,14 Apr 2025,East,Doohickey,$144.03,1,10%,129.63,user124@example.com,yes,119.85,USD,
10023,2025-04-13,North ,Doohickey,$140.96,13,10%,1649.18,user70@example.com,no,0,USD,
10024,2025-12-31,north,Gadget,$51.24,-,10%,737.80,user87@example.com,no,0,USD,
10025,07/31/2025,East,Widget,$11.94,15,15%,152.21,user162@example.com,no,0,USD,
10026,2025-11-08,north,Gizmo,"$1,283.69",11,0%,14120.59,user182@example.com,no,0,USD,
